uniqueID,name,party,n_turns,n_heckles,first_year,last_year,heckle_rate_per_100_turns
Giles1973,"Giles, Andrew",ALP,813,119,2013,2022,14.637146371463714
Burney1957,"Burney, Linda",ALP,418,119,2016,2022,28.4688995215311
Pearce1963,"Pearce, Chris",LIBERAL,496,116,2001,2010,23.387096774193548
Jensen1962,"Jensen, Dennis",LIBERAL,665,116,2004,2016,17.44360902255639
Forrest1949,"Forrest, John (Alexander)",NATIONAL,465,114,1998,2013,24.516129032258064
Schultz1939,"Schultz, Alby",LIBERAL,476,113,1998,2013,23.73949579831933
Brereton1946,"Brereton, Laurie",ALP,255,112,1998,2004,43.92156862745098
Sercombe1949,"Sercombe, Bob",ALP,326,111,1998,2007,34.04907975460123
Joyce1967,"Joyce, Barnaby",NATIONAL,1490,111,2013,2022,7.449664429530201
Hoare1963,"Hoare, Kelly",ALP,507,111,1998,2007,21.893491124260354
Theophanous1946,"Theophanous, Andrew",ALP,387,110,1998,2000,28.42377260981912
Jenkins1952,"Jenkins, Harry (Jr)",ALP,757,110,1998,2013,14.531043593130779
Gash1944,"Gash, Joanna",LIBERAL,710,110,1998,2013,15.492957746478874
Rowland1971,"Rowland, Michelle",ALP,787,108,2010,2022,13.72299872935197
Katter1945,"Katter, Bob (Jr)",KAP,434,108,2018,2022,24.88479262672811
Claydon1964,"Claydon, Sharon",ALP,790,107,2013,2022,13.544303797468354
Williams1942,"Williams, Daryl",LIBERAL,1264,106,1998,2004,8.386075949367088
Dutton1970,"Dutton, Peter",LNP,521,105,2019,2021,20.15355086372361
Hatton1951,"Hatton, Michael",ALP,634,105,1998,2007,16.561514195583594
McArthur1937,"McArthur, Stewart",LIBERAL,537,104,1998,2007,19.366852886405958
Evans1944,"Evans, Gareth",ALP,229,103,1998,1999,44.97816593886463
Sciacca1947,"Sciacca, Con",ALP,314,102,1998,2004,32.48407643312102
OByrne1968,"O'Byrne, Michelle",ALP,454,100,1998,2004,22.026431718061673
Bradbury1976,"Bradbury, David",ALP,849,100,2008,2013,11.778563015312132
Ronaldson1954,"Ronaldson, Michael",LIBERAL,266,99,1998,2001,37.21804511278196
Bird1962,"Bird, Sharon",ALP,856,99,2004,2022,11.565420560747663
Prentice1953,"Prentice, Jane",LIBERAL,851,97,2010,2019,11.398354876615747
Gray1958,"Gray, Gary",ALP,585,97,2008,2016,16.581196581196583
Cobb1950,"Cobb, John",NATIONAL,819,94,2002,2016,11.477411477411477
ODwyer1977,"O'Dwyer, Kelly",LIBERAL,960,94,2010,2019,9.791666666666666
