uniqueID,name,party,n_turns,n_heckles,first_year,last_year,heckle_rate_per_100_turns
Thwaites1980,"Thwaites, Kate",ALP,354,26,2019,2025,7.344632768361582
Coker1962,"Coker, Libby",ALP,422,25,2019,2025,5.924170616113744
Prosser1948,"Prosser, Geoff",LIBERAL,196,25,1998,2007,12.755102040816327
Organ1956,"Organ, Michael",GREENS,269,25,2003,2004,9.293680297397769
ODowd1950,"O'Dowd, Ken",NATIONAL,710,24,2010,2022,3.380281690140845
StClair1949,"St Clair, Stuart",NATIONAL,241,24,1998,2001,9.95850622406639
Symon1965,"Symon, Mike",ALP,367,23,2008,2013,6.267029972752043
Morris1932,"Morris, Peter",ALP,118,23,1998,1998,19.491525423728813
Templeman1963,"Templeman, Susan",ALP,953,22,2016,2025,2.308499475341028
Ticehurst1945,"Ticehurst, Ken",LIBERAL,233,22,2002,2007,9.44206008583691
Landry1962,"Landry, Michelle",NATIONAL,565,22,2013,2025,3.893805309734513
Scott1977,"Scott, Fiona",LIBERAL,254,21,2013,2016,8.26771653543307
Charles1936,"Charles, Bob",LIBERAL,350,21,1998,2004,6.0
Webster1959,"Webster, Anne",NATIONAL,473,21,2019,2025,4.439746300211416
Williams1973,"Williams, Matt",LIBERAL,259,21,2013,2016,8.108108108108109
Matheson1958,"Matheson, Russell",LIBERAL,256,20,2010,2016,7.8125
Ferguson1974,"Ferguson, Michael",LIBERAL,193,20,2004,2007,10.362694300518134
Simmonds1985,"Simmonds, Julian",LIBERAL,370,20,2019,2022,5.405405405405405
Wooldridge1956,"Wooldridge, Michael",LIBERAL,830,19,1998,2001,2.289156626506024
Allen1966,"Allen, Katie",LIBERAL,428,19,2019,2022,4.4392523364485985
Mirabella1968,"Panopoulos, Sophie",LIBERAL,186,19,2002,2006,10.21505376344086
Wells1985,"Wells, Anika",ALP,338,19,2019,2025,5.621301775147929
Miles1947,"Miles, Chris",LIBERAL,105,19,1998,1998,18.095238095238095
Drum1960,"Drum, Kevin",NATIONAL,438,18,2016,2023,4.109589041095891
Elson1947,"Elson, Kay",LIBERAL,315,18,1998,2007,5.714285714285714
Alexander1951,"Alexander, John",LIBERAL,738,18,2010,2022,2.4390243902439024
Somlyay1946,"Somlyay, Alex",LIBERAL,284,18,1998,2013,6.338028169014085
Neal1963,"Neal, Belinda",ALP,136,17,2008,2010,12.5
Lawler1961,"Lawler, Tony",NATIONAL,158,17,1998,2001,10.759493670886076
ONeill1961,"O'Neill, Deborah",ALP,332,16,2010,2013,4.819277108433735
Tollner1966,"Tollner, Dave",CLP,254,16,2002,2007,6.299212598425197
Hart1960,"Hart, Ross",ALP,184,15,2016,2019,8.152173913043478
Gillespie1957,"Gillespie, David",NATIONAL,708,15,2013,2025,2.1186440677966103
Debus1943,"Debus, Bob",ALP,114,15,2008,2010,13.157894736842104
Sullivan1942,"Sullivan, Kathy",LIBERAL,64,15,1998,2001,23.4375
Gee1968,"Gee, Andrew",NATIONAL,568,15,2016,2025,2.640845070422535
Mulino1969,"Mulino, Daniel",ALP,353,15,2019,2025,4.2492917847025495
McBride1975,"McBride, Emma",ALP,395,15,2016,2025,3.7974683544303796
OToole1956,"O'Toole, Cathy",ALP,279,14,2016,2019,5.017921146953405
Andrew1944,"Andrew, Neil",LIBERAL,53,14,1998,2002,26.41509433962264
Wakelin1946,"Wakelin, Barry",LIBERAL,368,14,1998,2007,3.8043478260869565
Nugent1938,"Nugent, Peter",LIBERAL,148,14,1998,2001,9.45945945945946
Smith1950,"Smith, Tony (Anthony Charles)",IND,97,13,1998,1998,13.402061855670103
EvansMartyn1953,"Evans, Martyn",ALP,159,13,1998,2004,8.176100628930818
Sharkie1972,"Sharkie, Rebekha",NXT,185,13,2016,2017,7.027027027027027
Cheeseman1976,"Cheeseman, Darren",ALP,320,13,2008,2013,4.0625
Stevens1983,"Stevens, James",LIBERAL,572,13,2019,2025,2.272727272727273
Rocher1936,"Rocher, Allan",IND,74,13,1998,1998,17.56756756756757
Smith1954,"Smith, Warwick",LIBERAL,168,12,1998,1998,7.142857142857143
Moore1936,"Moore, John",LIBERAL,272,12,1998,2001,4.411764705882353
Connelly1978,"Connelly, Vince",LIBERAL,189,12,2019,2022,6.349206349206349
Vasta1966,"Vasta, Ross",LIBERAL,587,12,2004,2025,2.0442930153321974
Thomson1961,"Thomson, Andrew",LIBERAL,186,11,1998,2001,5.913978494623656
Marek1964,"Marek, Paul",NATIONAL,53,11,1998,1998,20.754716981132077
Smyth1976,"Smyth, Laura",ALP,216,10,2010,2013,4.62962962962963
Lamb1972,"Lamb, Susan",ALP,162,10,2016,2019,6.172839506172839
Corcoran1951,"Corcoran, Ann",ALP,165,10,2000,2007,6.0606060606060606
Katter1945,"Katter, Bob (Jr)",NATIONAL,77,10,1998,2000,12.987012987012987
Wicks1973,"Wicks, Lucy",LIBERAL,697,9,2013,2022,1.291248206599713
Washer1945,"Washer, Mal",LIBERAL,282,9,1998,2013,3.1914893617021276
Evans1981,"Evans, Trevor",LIBERAL,395,9,2016,2022,2.278481012658228
Archer1975,"Archer, Bridget",LIBERAL,318,9,2019,2025,2.830188679245283
Dondas1939,"Dondas, Nick",CLP,44,9,1998,1998,20.454545454545453
ReidNicholas1935,"Reid, Bruce",LIBERAL,30,9,1998,1998,30.0
Payne1982,"Payne, Alicia",ALP,365,9,2019,2025,2.4657534246575343
Holding1931,"Holding, Clyde",ALP,36,9,1998,1998,25.0
JonesBarry1932,"Jones, Barry",ALP,37,9,1998,1998,24.324324324324323
Jull1944,"Jull, David",LIBERAL,247,9,1998,2007,3.6437246963562755
Mossfield1935,"Mossfield, Frank",ALP,405,9,1998,2004,2.2222222222222223
McFarlane1944,"McFarlane, Jann",ALP,276,8,1998,2004,2.898550724637681
Phillips1970,"Phillips, Fiona",ALP,408,8,2019,2025,1.9607843137254901
Dargavel1966,"Dargavel, Steve",ALP,13,8,1998,1998,61.53846153846154
