uniqueID,name,party,n_turns,n_heckles,first_year,last_year,heckle_rate_per_100_turns
Andren1946,"Andren, Peter",IND,453,63,1998,2007,13.907284768211921
Jenkins1952,"Jenkins, Harry (Jr) (The SPEAKER)",ALP,232,63,2011,2011,27.155172413793103
Thompson1960,"Thompson, Cameron",LIB,315,63,1998,2007,20.0
Rowland1971,"Rowland, Michelle",ALP,785,63,2010,2025,8.02547770700637
Claydon1964,"Claydon, Sharon",ALP,822,62,2013,2025,7.542579075425791
Wyatt1952,"Wyatt, Ken",LIB,488,62,2010,2022,12.704918032786885
Gee1968,"Gee, Andrew",NP,456,62,2016,2025,13.596491228070175
Dick1972,"Dick, Milton",ALP,401,61,2016,2022,15.211970074812967
Saffin1954,"Saffin, Janelle",ALP,395,60,2008,2013,15.189873417721518
Gambaro1958,"Gambaro, Teresa",LIB,743,60,1998,2016,8.075370121130552
Byrne1962,"Byrne, Anthony",ALP,534,59,2000,2022,11.04868913857678
Johnson1970,"Johnson, Michael",LIB,377,59,2002,2010,15.649867374005305
McArthur1937,"McArthur, Stewart",LIB,316,59,1998,2007,18.670886075949365
Causley1940,"Causley, Ian",NP,276,59,1998,2007,21.3768115942029
Zahra1973,"Zahra, Christian",ALP,218,59,1998,2004,27.06422018348624
Griggs1969,"Griggs, Natasha",CLP,424,58,2010,2016,13.679245283018869
Burke1966,"Burke, Anna",ALP,594,58,1998,2016,9.764309764309765
Brodtmann1963,"Brodtmann, Gai",ALP,1003,58,2010,2019,5.782652043868395
Hull1954,"Hull, Kay",NP,425,58,1998,2010,13.647058823529411
Aly1967,"Aly, Anne",ALP,392,57,2016,2025,14.540816326530612
Adams1951,"Adams, Dick",ALP,519,57,1998,2013,10.982658959537572
Chesters1980,"Chesters, Lisa",ALP,948,57,2013,2025,6.012658227848101
Bailey1946,"Bailey, Fran",LIB,265,56,1998,2010,21.132075471698112
Vale1944,"Vale, Danna",LIB,348,55,1998,2010,15.804597701149426
Jenkins1952,"Jenkins, Harry (Jr)",ALP,376,55,1998,2013,14.627659574468085
Elliot1967,"Elliot, Justine",ALP,705,55,2004,2025,7.801418439716312
Fischer1946,"Fischer, Tim",NP,142,54,1998,2001,38.028169014084504
Entsch1950,"Entsch, Warren",LIB,818,53,1998,2025,6.47921760391198
Horne1939,"Horne, Bob",ALP,152,53,1998,2001,34.86842105263158
Secker1956,"Secker, Patrick",LIB,370,52,1998,2013,14.054054054054054
MacTiernan1953,"MacTiernan, Alannah",ALP,368,51,2013,2016,13.858695652173912
